date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:42:57	54770/54770	---MC-	200	added ('OK')	text/html	date:Sun,%2004%20Jun%202023%2000:42:53%20GMT	https://www.mapleparking.co.uk/tag/holiday-airport-parking/	F:/Temp/qwe/www.mapleparking.co.uk/tag/holiday-airport-parking/index.html	(from https://www.mapleparking.co.uk/latest-news/)
05:42:57	416292/416292	---M--	200	added ('OK')	image/png	etag:%225dc156d7-65a24%22	https://www.mapleparking.co.uk/wp-content/uploads/2019/06/Maple-Parking-Safe-Car-Park.png	F:/Temp/qwe/www.mapleparking.co.uk/wp-content/uploads/2019/06/Maple-Parking-Safe-Car-Park.png	(from https://www.mapleparking.co.uk/car-safety/)
05:42:57	54546/54546	---MC-	200	added ('OK')	text/html	date:Sun,%2004%20Jun%202023%2000:42:54%20GMT	https://www.mapleparking.co.uk/tag/jan-sales/	F:/Temp/qwe/www.mapleparking.co.uk/tag/jan-sales/index.html	(from https://www.mapleparking.co.uk/latest-news/)
05:42:57	54756/54756	---MC-	200	added ('OK')	text/html	date:Sun,%2004%20Jun%202023%2000:42:55%20GMT	https://www.mapleparking.co.uk/tag/home-on-valentines-day/	F:/Temp/qwe/www.mapleparking.co.uk/tag/home-on-valentines-day/index.html	(from https://www.mapleparking.co.uk/latest-news/)
05:42:59	10548/10548	---MC-	200	added ('OK')	application/json	date:Sun,%2004%20Jun%202023%2000:42:58%20GMT	https://www.mapleparking.co.uk/wp-json/wp/v2/pages/505	F:/Temp/qwe/www.mapleparking.co.uk/wp-json/wp/v2/pages/505.json	(from https://www.mapleparking.co.uk/car-safety/)
05:43:00	54884/54884	---MC-	200	added ('OK')	text/html	date:Sun,%2004%20Jun%202023%2000:42:59%20GMT	https://www.mapleparking.co.uk/tag/meet-and-greet-airport-parking/	F:/Temp/qwe/www.mapleparking.co.uk/tag/meet-and-greet-airport-parking/index.html	(from https://www.mapleparking.co.uk/latest-news/)
05:43:00	54708/54708	---MC-	200	added ('OK')	text/html	date:Sun,%2004%20Jun%202023%2000:43:00%20GMT	https://www.mapleparking.co.uk/tag/last-minute-holiday/	F:/Temp/qwe/www.mapleparking.co.uk/tag/last-minute-holiday/index.html	(from https://www.mapleparking.co.uk/latest-news/)
05:43:00	54626/54626	---MC-	200	added ('OK')	text/html	date:Sun,%2004%20Jun%202023%2000:43:00%20GMT	https://www.mapleparking.co.uk/tag/meet-and-greet/	F:/Temp/qwe/www.mapleparking.co.uk/tag/meet-and-greet/index.html	(from https://www.mapleparking.co.uk/latest-news/)
05:43:01	54770/54770	---MC-	200	added ('OK')	text/html	date:Sun,%2004%20Jun%202023%2000:43:01%20GMT	https://www.mapleparking.co.uk/tag/meet-and-greet-heathrow/	F:/Temp/qwe/www.mapleparking.co.uk/tag/meet-and-greet-heathrow/index.html	(from https://www.mapleparking.co.uk/latest-news/)
05:43:03	2837/2837	---MC-	200	added ('OK')	application/json	date:Sun,%2004%20Jun%202023%2000:43:01%20GMT	https://www.mapleparking.co.uk/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.mapleparking.co.uk%2Fcar-safety%2F	F:/Temp/qwe/www.mapleparking.co.uk/wp-json/oembed/1.0/embede06e.json	(from https://www.mapleparking.co.uk/car-safety/)
